label,val_pos,test_pos,thr@val_spec,val_auc,test_auc,test_spec,test_sens,test_prec,TN,FP,FN,TP
Effusion,112,91,0.8076095581054688,0.8025351841141314,0.8314195711817906,0.9194187582562747,0.38461538461538464,0.3645833333333333,696,61,56,35
Consolidation,37,31,0.7574315369129181,0.7599364069952305,0.8105973861886523,0.9326805385556916,0.3225806451612903,0.15384615384615385,762,55,21,10
Cardiomegaly,17,36,0.4187888950109482,0.872994652406417,0.7936850027367269,0.8916256157635468,0.5,0.16981132075471697,724,88,18,18
Emphysema,23,31,0.5938128948211671,0.8671031953902567,0.7829588976191416,0.9082007343941249,0.45161290322580644,0.15730337078651685,742,75,17,14
Pneumothorax,42,48,0.7073943614959717,0.721419763959838,0.7817447916666667,0.91375,0.375,0.20689655172413793,731,69,30,18
Atelectasis,75,64,0.7068947196006775,0.7336589545844044,0.7522919323979592,0.9362244897959183,0.234375,0.23076923076923078,734,50,49,15
Mass,39,49,0.7395372688770294,0.7755622755622755,0.6828688922377462,0.9023779724655819,0.2653061224489796,0.14285714285714285,721,78,36,13
Infiltration,143,166,0.6740716814994813,0.6598345316655176,0.6439776702116383,0.9296187683284457,0.19879518072289157,0.4074074074074074,634,48,133,33
Pleural_Thickening,24,22,0.7380964398384094,0.7432147165259348,0.6420867268324896,0.8958837772397095,0.36363636363636365,0.0851063829787234,740,86,14,8
Nodule,55,42,0.5144479751586915,0.7061061745272272,0.5940269408011344,0.8771712158808933,0.2619047619047619,0.1,707,99,31,11
