label,val_pos,test_pos,thr@val_spec,val_auc,test_auc,test_spec,test_sens,test_prec,TN,FP,FN,TP
Effusion,112,91,0.6122366786003113,0.7970647773279352,0.7849812010974495,0.8996036988110965,0.43956043956043955,0.3448275862068966,681,76,51,40
Pneumothorax,42,48,0.647068202495575,0.7017497504550525,0.7678125,0.89875,0.3333333333333333,0.16494845360824742,719,81,32,16
Emphysema,23,31,0.4194342464208603,0.7914614981665794,0.760058435661547,0.9192166462668299,0.3870967741935484,0.15384615384615385,751,66,19,12
Cardiomegaly,17,36,0.700168251991272,0.8804531381930762,0.7571839080459771,0.8940886699507389,0.4444444444444444,0.1568627450980392,726,86,20,16
Atelectasis,75,64,0.6826935648918152,0.7327163667523565,0.7414500956632654,0.9107142857142857,0.3125,0.2222222222222222,714,70,44,20
Consolidation,37,31,0.6865013241767883,0.7354928457869635,0.7377502270304419,0.9277845777233782,0.16129032258064516,0.078125,758,59,26,5
Mass,39,49,0.6844438016414642,0.7513387513387513,0.6982707976807745,0.869837296620776,0.2653061224489796,0.1111111111111111,695,104,36,13
Pleural_Thickening,24,22,0.5377071499824525,0.7363791716928025,0.6958507594100815,0.8668280871670703,0.36363636363636365,0.06779661016949153,716,110,14,8
Infiltration,143,166,0.6998692274093627,0.6420860829311534,0.6184768399109636,0.9398826979472141,0.15060240963855423,0.3787878787878788,641,41,141,25
Nodule,55,42,0.7871792614459999,0.7156071998177261,0.5691539643152547,0.8759305210918115,0.14285714285714285,0.05660377358490566,706,100,36,6
